0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:16:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886513646 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:16:14 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=2 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:17:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886573691 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:17:45 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=2 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:18:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886633745 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:19:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886693790 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:19:16 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=2 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:20:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886753845 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:20:41 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886813929 HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [04/Jul/2022:09:24:13 +0200] "GET /magnoliaAuthor/ HTTP/1.1" 401 1482
0:0:0:0:0:0:0:1 - - [04/Jul/2022:09:24:13 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/normalize.css HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [04/Jul/2022:09:24:13 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/login.css HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [04/Jul/2022:09:24:13 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/img/logo-magnolia.gif HTTP/1.1" 200 296427
0:0:0:0:0:0:0:1 - - [04/Jul/2022:09:24:13 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/img/lock.svg HTTP/1.1" 200 493
